Project Name,CoinMarketCap URL,Official Website URL,LinkedIn URLs,Telegram URLs,Official Email ID,Email Source
Ethena Labs (USDtb),https://coinmarketcap.com/currencies/ethena-labs-usdtb/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/conorryder,,Not Found
Wrapped BNBWBNB,https://coinmarketcap.com/currencies/wbnb/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Binance Staked,https://coinmarketcap.com/currencies/binance-staked-sol/,https://www.binance.com/en/trade/BNSOL_SOL?ref=40896146,,,sensorsdata@1.26.12.js,Website
Lombard Staked,https://coinmarketcap.com/currencies/lombard-staked-btc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
FunctionFBTC,https://coinmarketcap.com/currencies/ignition-fbtc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Kinetiq Staked,https://coinmarketcap.com/currencies/kinetiq-staked-hype/,https://app.hyperliquid.xyz/trade/KHYPE/USDH,,,,Not Found
Jito Staked,https://coinmarketcap.com/currencies/jito-staked-sol/,https://blockworks.com/price/jito,,,BlockworksTeam@2x.png,Website
Rocket Pool,https://coinmarketcap.com/currencies/rocket-pool-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Liquid Staked,https://coinmarketcap.com/currencies/liquid-staked-eth/,https://exchange.coinbase.com/trade/LSETH-USD,,,,Not Found
Wrapped FlareWFLR,https://coinmarketcap.com/currencies/wrapped-flare/,https://openocean.finance/,,,,Not Found
Lista Staked,https://coinmarketcap.com/currencies/slisbnb/,https://lista.org/rwa,,https://t.me/ListaDAO,,Not Found
syrupUSDTsyrupUSDT,https://coinmarketcap.com/currencies/syrup-usdt/,https://www.instagram.com/coinmarketcap/,,https://t.me/maplefinance,,Not Found
tBTCTBTC,https://coinmarketcap.com/currencies/tbtc-token/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Bond USD0bUSD0,https://coinmarketcap.com/currencies/usd0-liquid-bond/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
slisBNBxslisBNBx,https://coinmarketcap.com/currencies/slisbnbx/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/ListaDAO,,Not Found
Mantle Staked,https://coinmarketcap.com/currencies/mantle-staked-ether/,https://www.bybit.com/en-US/trade/spot/METH/USDT?affiliate_id=157132,,,,Not Found
SolvBTCSolvBTC,https://coinmarketcap.com/currencies/solv-btc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Jupiter Staked,https://coinmarketcap.com/currencies/jupiter-staked-sol/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/jup_marketing,,Not Found
Wrapped ChilizWCHZ,https://coinmarketcap.com/currencies/wrapped-chiliz/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/chiliz_io,,Not Found
Venus BTCvBTC,https://coinmarketcap.com/currencies/venus-btc/,https://app.venus.io,,https://t.me/VenusProtocol,,Not Found
Venus BNBvBNB,https://coinmarketcap.com/currencies/venus-bnb/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/VenusProtocol,,Not Found
ether.fi Staked,https://coinmarketcap.com/currencies/ether-fi/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Wrapped XTZWXTZ,https://coinmarketcap.com/currencies/wrapped-tezos/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/tezosplatform,,Not Found
StakeWise Staked,https://coinmarketcap.com/currencies/staked-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Coinbase Wrapped Staked,https://coinmarketcap.com/currencies/coinbase-wrapped-staked-eth/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Stader ETHxETHX,https://coinmarketcap.com/currencies/stader-ethx/,https://www.instagram.com/coinmarketcap/,,https://t.me/staderlabs,,Not Found
Marinade Staked,https://coinmarketcap.com/currencies/marinade/,https://github.com/certusone/wormhole-token-list/blob/main/content/by_source.csv,,,,Not Found
GTBTCGTBTC,https://coinmarketcap.com/currencies/gtbtc/,https://www.instagram.com/coinmarketcap/,,https://t.me/GateCom_EN,,Not Found
BENQI Liquid Staked,https://coinmarketcap.com/currencies/benqi-liquid-staked-avax/,https://www.instagram.com/coinmarketcap/,,https://t.me/BENQIFinance,,Not Found
Treehouse ETHTETH,https://coinmarketcap.com/currencies/treehouse-eth/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Universal BTCUNIBTC,https://coinmarketcap.com/currencies/universal-btc/,https://www.instagram.com/coinmarketcap/,,,,Not Found
crvUSDCRVUSD,https://coinmarketcap.com/currencies/crvusd/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Staked TRXSTRX,https://coinmarketcap.com/currencies/staked-trx/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Frax Staked Ether,https://coinmarketcap.com/currencies/frax-staked-ether/,https://www.instagram.com/coinmarketcap/,,https://t.me/fraxfinance,,Not Found
Rootstock BitcoinrBTC,https://coinmarketcap.com/currencies/rsk-smart-bitcoin/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Beacon ETHBETH,https://coinmarketcap.com/currencies/beacon-eth/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Venus USDTvUSDT,https://coinmarketcap.com/currencies/venus-usdt/,https://app.venus.io/dashboard,,https://t.me/VenusProtocol,,Not Found
Bitcoin Avalanche BridgedBTC.b,https://coinmarketcap.com/currencies/bitcoin-avalanche-bridged/,https://bitcoinbridge.network/,,,,Not Found
Staked AavestkAAVE,https://coinmarketcap.com/currencies/staked-aave/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Renzo Restaked,https://coinmarketcap.com/currencies/renzo-restaked-eth/,https://www.instagram.com/coinmarketcap/,,https://t.me/RenzoProtocolChat,,Not Found
Sanctum InfinityINF,https://coinmarketcap.com/currencies/sanctum-infinity/,https://learn.sanctum.so/blog/scnsol-will-become-infinity,,,icon_512x512@2x.png,Website
Aster as,https://coinmarketcap.com/currencies/asbnb/,https://www.instagram.com/coinmarketcap/,,https://t.me/AsterDEX,,Not Found
Wrapped AVAXWAVAX,https://coinmarketcap.com/currencies/wavax/,https://www.instagram.com/coinmarketcap/,,https://t.me/avalancheavax,,Not Found
Wrapped Centrifuge,https://coinmarketcap.com/currencies/wrapped-centrifuge/,https://gov.centrifuge.io/t/centrifuge-token-migration-update/6860,,https://t.me/centrifuge_chat,hello@centrifuge.io,Website
Wrapped SolanaSOL,https://coinmarketcap.com/currencies/wrapped-solana/,https://solana.com/,,,operations@solana.com,Website
Bybit Staked,https://coinmarketcap.com/currencies/bybit-staked-sol/,https://www.instagram.com/coinmarketcap/,,https://t.me/BybitEnglish,,Not Found
JPool Staked SOL (JSOL),https://coinmarketcap.com/currencies/jpool/,https://www.instagram.com/coinmarketcap/,,https://t.me/jpool_solana,,Not Found
Coinbase Wrapped,https://coinmarketcap.com/currencies/coinbase-wrapped-xrp/,https://github.com/coinbase/wrapped-tokens-os,,,,Not Found
Wrapped FantomWFTM,https://coinmarketcap.com/currencies/wrapped-fantom/,https://www.instagram.com/coinmarketcap/,,https://t.me/fantom_english,,Not Found
Huobi BTCHBTC,https://coinmarketcap.com/currencies/huobi-btc/,https://hacken.io/audits/huobi-btc/,,https://t.me/huobiglobalofficial,,Not Found
Mantle Restaked,https://coinmarketcap.com/currencies/mantle-restaked-ether/,https://www.instagram.com/coinmarketcap/,,https://t.me/mantlenetwork,,Not Found
BlazeStake Staked,https://coinmarketcap.com/currencies/blazestake-staked-sol/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Wrapped PulseWPLS,https://coinmarketcap.com/currencies/wrapped-pulse/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Crypto.com Staked,https://coinmarketcap.com/currencies/crypto-com-staked-eth/,https://www.instagram.com/coinmarketcap/,,https://t.me/CryptocomOfficial,,Not Found
Lorenzo staked USD1+SUSD1+,https://coinmarketcap.com/currencies/lorenzo-staked-usd1/,https://www.instagram.com/coinmarketcap/,,,,Not Found
xSolvBTCxSolvBTC,https://coinmarketcap.com/currencies/xsolvbtc/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Edgevana Staked,https://coinmarketcap.com/currencies/edgevana-staked-sol/,https://www.instagram.com/coinmarketcap/,,,,Not Found
ether.fi Staked,https://coinmarketcap.com/currencies/etherfi-ebtc/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Staked USDTSTUSDT,https://coinmarketcap.com/currencies/staked-usdt/,https://www.instagram.com/coinmarketcap/,,https://t.me/stUSDTofficial,,Not Found
Haedal Staked,https://coinmarketcap.com/currencies/haedal-staked-sui/,https://www.instagram.com/coinmarketcap/,,,,Not Found
pufETHPUFETH,https://coinmarketcap.com/currencies/pufeth/,https://www.instagram.com/coinmarketcap/,,,,Not Found
Wrapped peaq,https://coinmarketcap.com/currencies/wrapped-peaq/,https://www.peaq.network/blog/what-are-decentralized-physical-infrastructure-networks-depin,,,,Not Found
Venus USDCvUSDC,https://coinmarketcap.com/currencies/venus-usdc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/VenusProtocol,,Not Found
Wrapped CROWCRO,https://coinmarketcap.com/currencies/wrapped-cro/,http://Crypto.com,,https://t.me/CryptoComOfficial,,Not Found
Staked Frax,https://coinmarketcap.com/currencies/staked-frax-usd/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/fraxfinance,,Not Found
Venus ETHvETH,https://coinmarketcap.com/currencies/venus-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/VenusProtocol,,Not Found
Volo Staked,https://coinmarketcap.com/currencies/volo-staked-sui/,https://www.instagram.com/coinmarketcap/,,,,Not Found
swETHSWETH,https://coinmarketcap.com/currencies/swell-sweth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Restaked Swell Ethereum,https://coinmarketcap.com/currencies/restaked-swell-ethereum/,https://gigabrainpodcast.com/e/vn5j7ml8-decoding-hyperliquid,,,kieran@liquid-labs.xyz,Website
Wrapped TAOWTAO,https://coinmarketcap.com/currencies/wrapped-tao/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Wrapped HBARWHBAR,https://coinmarketcap.com/currencies/wrapped-hedera/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/hederahashgraph,,Not Found
DeFi Pulse,https://coinmarketcap.com/currencies/defi-pulse-index/,https://bilaxy.com/trade/DPI_ETH?intro=1696872,,,,Not Found
Wrapped NXMWNXM,https://coinmarketcap.com/currencies/wrapped-nxm/,https://www.coindesk.com/business/2026/05/16/crypto-users-are-choosing-juicy-yields-over-protection-putting-billions-at-risk-of-hacks,,,media@coindesk.com,Website
Wrapped MaticWMATIC,https://coinmarketcap.com/currencies/wmatic/,https://polygon.technology/blog/move-money-across-any-blockchain-with-the-open-money-stack,,,pr@polygon.technology,Website
Universal ETHUNIETH,https://coinmarketcap.com/currencies/universal-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Savings crv,https://coinmarketcap.com/currencies/savings-crvusd/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,https://t.me/curvefi,,Not Found
Amnis Staked Aptos coin,https://coinmarketcap.com/currencies/amnis-staked-aptos-coin/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
OpenEden Compounding Open,https://coinmarketcap.com/currencies/openeden-compounding-opendollar/,https://www.instagram.com/coinmarketcap/,,https://t.me/openeden,,Not Found
Wrapped Rootstock Bitcoin,https://coinmarketcap.com/currencies/wrapped-rsk-smart-bitcoin/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
Wrapped BeraWBERA,https://coinmarketcap.com/currencies/wbera/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,,,,Not Found
PBTC100,https://coinmarketcap.com/currencies/purple-bitcoin/,https://www.bifinance.com/trade?symbol=PBTC/USDT,,https://t.me/purplebitcoin_verifiy,,Not Found
GICAT100,https://coinmarketcap.com/currencies/gicat/,https://www.instagram.com/coinmarketcap/,,https://t.me/GiggleCatBSC,,Not Found
