Project Name,CoinMarketCap URL,Official Website URL,LinkedIn URLs,Telegram URLs
Wrapped XTZWXTZ,https://coinmarketcap.com/currencies/wrapped-tezos/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/tezosplatform
StakeWise Staked,https://coinmarketcap.com/currencies/staked-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Coinbase Wrapped Staked,https://coinmarketcap.com/currencies/coinbase-wrapped-staked-eth/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Stader ETHxETHX,https://coinmarketcap.com/currencies/stader-ethx/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/staderlabs
Marinade Staked,https://coinmarketcap.com/currencies/marinade/,https://github.com/certusone/wormhole-token-list/blob/main/content/by_source.csv,N/A,N/A
GTBTCGTBTC,https://coinmarketcap.com/currencies/gtbtc/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/GateCom_EN
BENQI Liquid Staked,https://coinmarketcap.com/currencies/benqi-liquid-staked-avax/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/BENQIFinance
Treehouse ETHTETH,https://coinmarketcap.com/currencies/treehouse-eth/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Universal BTCUNIBTC,https://coinmarketcap.com/currencies/universal-btc/,https://www.instagram.com/coinmarketcap/,N/A,N/A
crvUSDCRVUSD,https://coinmarketcap.com/currencies/crvusd/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Staked TRXSTRX,https://coinmarketcap.com/currencies/staked-trx/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Frax Staked Ether,https://coinmarketcap.com/currencies/frax-staked-ether/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/fraxfinance
Rootstock BitcoinrBTC,https://coinmarketcap.com/currencies/rsk-smart-bitcoin/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Beacon ETHBETH,https://coinmarketcap.com/currencies/beacon-eth/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Venus USDTvUSDT,https://coinmarketcap.com/currencies/venus-usdt/,https://app.venus.io/dashboard,N/A,https://t.me/VenusProtocol
Bitcoin Avalanche BridgedBTC.b,https://coinmarketcap.com/currencies/bitcoin-avalanche-bridged/,https://bitcoinbridge.network/,N/A,N/A
Staked AavestkAAVE,https://coinmarketcap.com/currencies/staked-aave/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Renzo Restaked,https://coinmarketcap.com/currencies/renzo-restaked-eth/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/RenzoProtocolChat
Sanctum InfinityINF,https://coinmarketcap.com/currencies/sanctum-infinity/,https://learn.sanctum.so/blog/scnsol-will-become-infinity,N/A,N/A
Aster as,https://coinmarketcap.com/currencies/asbnb/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/AsterDEX
Wrapped AVAXWAVAX,https://coinmarketcap.com/currencies/wavax/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/avalancheavax
Wrapped Centrifuge,https://coinmarketcap.com/currencies/wrapped-centrifuge/,https://gov.centrifuge.io/t/centrifuge-token-migration-update/6860,N/A,https://t.me/centrifuge_chat
Wrapped SolanaSOL,https://coinmarketcap.com/currencies/wrapped-solana/,https://solana.com/,N/A,N/A
Bybit Staked,https://coinmarketcap.com/currencies/bybit-staked-sol/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/BybitEnglish
JPool Staked SOL (JSOL),https://coinmarketcap.com/currencies/jpool/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/jpool_solana
Coinbase Wrapped,https://coinmarketcap.com/currencies/coinbase-wrapped-xrp/,https://github.com/coinbase/wrapped-tokens-os,N/A,N/A
Wrapped FantomWFTM,https://coinmarketcap.com/currencies/wrapped-fantom/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/fantom_english
Huobi BTCHBTC,https://coinmarketcap.com/currencies/huobi-btc/,https://hacken.io/audits/huobi-btc/,N/A,https://t.me/huobiglobalofficial
Mantle Restaked,https://coinmarketcap.com/currencies/mantle-restaked-ether/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/mantlenetwork
BlazeStake Staked,https://coinmarketcap.com/currencies/blazestake-staked-sol/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Wrapped PulseWPLS,https://coinmarketcap.com/currencies/wrapped-pulse/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Crypto.com Staked,https://coinmarketcap.com/currencies/crypto-com-staked-eth/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/CryptocomOfficial
Lorenzo staked USD1+SUSD1+,https://coinmarketcap.com/currencies/lorenzo-staked-usd1/,https://www.instagram.com/coinmarketcap/,N/A,N/A
xSolvBTCxSolvBTC,https://coinmarketcap.com/currencies/xsolvbtc/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Edgevana Staked,https://coinmarketcap.com/currencies/edgevana-staked-sol/,https://www.instagram.com/coinmarketcap/,N/A,N/A
ether.fi Staked,https://coinmarketcap.com/currencies/etherfi-ebtc/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Staked USDTSTUSDT,https://coinmarketcap.com/currencies/staked-usdt/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/stUSDTofficial
Haedal Staked,https://coinmarketcap.com/currencies/haedal-staked-sui/,https://www.instagram.com/coinmarketcap/,N/A,N/A
pufETHPUFETH,https://coinmarketcap.com/currencies/pufeth/,https://www.instagram.com/coinmarketcap/,N/A,N/A
Wrapped peaq,https://coinmarketcap.com/currencies/wrapped-peaq/,https://www.peaq.network/blog/what-are-decentralized-physical-infrastructure-networks-depin,N/A,N/A
Venus USDCvUSDC,https://coinmarketcap.com/currencies/venus-usdc/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/VenusProtocol
Wrapped CROWCRO,https://coinmarketcap.com/currencies/wrapped-cro/,http://Crypto.com,N/A,https://t.me/CryptoComOfficial
Staked Frax,https://coinmarketcap.com/currencies/staked-frax-usd/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/fraxfinance
Venus ETHvETH,https://coinmarketcap.com/currencies/venus-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/VenusProtocol
Volo Staked,https://coinmarketcap.com/currencies/volo-staked-sui/,https://www.instagram.com/coinmarketcap/,N/A,N/A
swETHSWETH,https://coinmarketcap.com/currencies/swell-sweth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Restaked Swell Ethereum,https://coinmarketcap.com/currencies/restaked-swell-ethereum/,https://gigabrainpodcast.com/e/vn5j7ml8-decoding-hyperliquid,N/A,N/A
Wrapped TAOWTAO,https://coinmarketcap.com/currencies/wrapped-tao/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Wrapped HBARWHBAR,https://coinmarketcap.com/currencies/wrapped-hedera/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/hederahashgraph
DeFi Pulse,https://coinmarketcap.com/currencies/defi-pulse-index/,https://bilaxy.com/trade/DPI_ETH?intro=1696872,N/A,N/A
Wrapped NXMWNXM,https://coinmarketcap.com/currencies/wrapped-nxm/,https://www.coindesk.com/business/2026/05/16/crypto-users-are-choosing-juicy-yields-over-protection-putting-billions-at-risk-of-hacks,N/A,N/A
Wrapped MaticWMATIC,https://coinmarketcap.com/currencies/wmatic/,https://polygon.technology/blog/move-money-across-any-blockchain-with-the-open-money-stack,N/A,N/A
Universal ETHUNIETH,https://coinmarketcap.com/currencies/universal-eth/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Savings crv,https://coinmarketcap.com/currencies/savings-crvusd/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,https://t.me/curvefi
Amnis Staked Aptos coin,https://coinmarketcap.com/currencies/amnis-staked-aptos-coin/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
OpenEden Compounding Open,https://coinmarketcap.com/currencies/openeden-compounding-opendollar/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/openeden
Wrapped Rootstock Bitcoin,https://coinmarketcap.com/currencies/wrapped-rsk-smart-bitcoin/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
Wrapped BeraWBERA,https://coinmarketcap.com/currencies/wbera/,https://institutional.whitebit.com/payments-for-businesses?utm_source=coinmarketcap&utm_medium=oFFramp_vinc&utm_campaign=post,N/A,N/A
PBTC100,https://coinmarketcap.com/currencies/purple-bitcoin/,https://www.bifinance.com/trade?symbol=PBTC/USDT,N/A,https://t.me/purplebitcoin_verifiy
GICAT100,https://coinmarketcap.com/currencies/gicat/,https://www.instagram.com/coinmarketcap/,N/A,https://t.me/GiggleCatBSC
